date,game_id,status,home_team,home_team_id,home_score,home_outcome,visitor_team,visitor_team_id,visitor_score,visitor_outcome,home_conference,visitor_conference,time,overtime,is_shootout_win,season,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,home_win_prob,away_win_prob,pred_point_spread,actual_point_spread
2025-12-11,69452,FINAL,Duxbury,4123,103.0,1,Marshfield/Hanover,4234,74.0,0,Patriot,Patriot,,,0,2025,1500.0,1500.0,1543.7261556904882,1456.2738443095118,0.5714631174083814,0.4285368825916186,2.0,29.0
2025-12-11,69485,FINAL,Plymouth North/South,4315,55.0,0,Quincy/North Quincy,4326,99.0,1,Patriot,Patriot,,,0,2025,1500.0,1500.0,1434.738983600229,1565.261016399771,0.5714631174083814,0.4285368825916186,2.0,-44.0
2025-12-11,69491,FINAL,Canton,4071,85.0,1,Norwell,4296,48.0,0,Hockomock,South Shore,,,0,2025,1500.0,1500.0,1546.7651949914268,1453.2348050085732,0.5714631174083814,0.4285368825916186,2.0,37.0
2025-12-11,69504,FINAL,Latin Academy,4202,82.0,0,Malden Catholic,4228,84.0,1,Boston City,Catholic Conference,,,0,2025,1500.0,1500.0,1481.165507900837,1518.834492099163,0.5714631174083814,0.4285368825916186,2.0,-2.0
2025-12-11,69558,FINAL,Pembroke,4308,50.0,0,Hingham,4171,97.0,1,Patriot,Patriot,,,0,2025,1500.0,1500.0,1433.632542065763,1566.367457934237,0.5714631174083814,0.4285368825916186,2.0,-47.0
2025-12-12,69568,FINAL,Lexington,4209,84.0,0,Chelmsford,4085,101.0,1,Middlesex,Merrimack Valley,,,0,2025,1500.0,1500.0,1450.4477743429054,1549.5522256570946,0.5714631174083814,0.4285368825916186,2.0,-17.0
2025-12-12,69600,FINAL,Wayland,4411,97.0,1,Holliston/Medway,4174,80.0,0,Dual County,Tri-Valley,,,0,2025,1500.0,1500.0,1537.1589270797904,1462.8410729202096,0.5714631174083814,0.4285368825916186,2.0,17.0
2025-12-12,69611,FINAL,Lincoln-Sudbury,4211,85.0,0,Concord-Carlisle,4097,96.0,1,Dual County,Dual County,,,0,2025,1500.0,1500.0,1457.3990249833,1542.6009750167,0.5714631174083814,0.4285368825916186,2.0,-11.0
2025-12-12,69633,FINAL,St. John’s (Shrewsbury),4368,57.0,0,Natick,4270,85.0,1,Catholic Conference,Bay State,,,0,2025,1500.0,1500.0,1442.2714388327906,1557.7285611672094,0.5714631174083814,0.4285368825916186,2.0,-28.0
2025-12-12,69636,FINAL,Durfee,4122,52.0,0,Apponequet/Old Colony,4011,100.0,1,Big Three,South Coast,,,0,2025,1500.0,1500.0,1433.2790472014544,1566.7209527985456,0.5714631174083814,0.4285368825916186,2.0,-48.0
2025-12-15,69759,FINAL,Xaverian,4446,95.0,1,Central Catholic,4081,57.0,0,Catholic Conference,Merrimack Valley,,,0,2025,1500.0,1500.0,1547.0991386104386,1452.9008613895614,0.5714631174083814,0.4285368825916186,2.0,38.0
2025-12-15,69750,FINAL,Bishop Feehan,4042,75.0,1,Norwell,4296,49.0,0,Catholic Central,South Shore,,,0,2025,1500.0,1453.2348050085732,1536.0138771619554,1417.2209278466178,0.635763958936309,0.364236041063691,3.870607799657073,26.0
2025-12-16,70054,FINAL,Melrose,4244,70.0,0,Winchester,4434,88.0,1,Middlesex,Middlesex,,,0,2025,1500.0,1500.0,1449.520851658404,1550.479148341596,0.5714631174083814,0.4285368825916186,2.0,-18.0
2025-12-16,70065,FINAL,Nashoba,4267,85.0,1,Westborough,4418,84.0,0,Mid-Wach,Mid-Wach,,,0,2025,1500.0,1500.0,1508.9111739580298,1491.0888260419702,0.5714631174083814,0.4285368825916186,2.0,1.0
